"","Date","Open.","High","Low","Close","Volume","Market.Cap","coin","Open","Close","Delta"
"922",2016-02-05,"388.9",391.09,385.57,"386.55","43,825,000","5,898,959,872","BTC",388.9,386.55,-0.00604268449472863
"923",2016-02-04,"370.17",391.61,369.99,"389.59","69,285,504","5,613,380,096","BTC",370.17,389.59,0.0524623821487424
"924",2016-02-03,"374.65",374.95,368.05,"369.95","45,933,400","5,679,529,984","BTC",374.65,369.95,-0.0125450420392366
"925",2016-02-02,"372.92",375.88,372.92,"374.45","40,378,700","5,651,689,984","BTC",372.92,374.45,0.00410275662340441
"926",2016-02-01,"369.35",378.07,367.96,"373.06","51,656,700","5,596,089,856","BTC",369.35,373.06,0.0100446730743197
"927",2016-01-31,"378.29",380.35,367.83,"368.77","37,894,300","5,729,869,824","BTC",378.29,368.77,-0.0251658780300828
"928",2016-01-30,"378.86",380.92,376.49,"378.26","30,284,400","5,736,759,808","BTC",378.86,378.26,-0.00158369846381255
"929",2016-01-29,"380.11",384.38,365.45,"379.47","86,125,296","5,753,970,176","BTC",380.11,379.47,-0.00168372313277732
"930",2016-01-28,"395.15",395.5,379.73,"380.29","59,247,900","5,980,179,968","BTC",395.15,380.29,-0.0376059724155383
"931",2016-01-27,"392.44",396.84,391.78,"394.97","47,424,400","5,937,780,224","BTC",392.44,394.97,0.00644684537763742
"932",2016-01-26,"392",397.77,390.58,"392.15","58,147,000","5,929,520,128","BTC",392,392.15,0.000382653061224432
"933",2016-01-25,"402.32",402.32,388.55,"391.73","59,062,400","6,083,899,904","BTC",402.32,391.73,-0.0263223304831974
"934",2016-01-24,"388.1",405.48,387.51,"402.97","54,824,800","5,867,299,840","BTC",388.1,402.97,0.0383148673022417
"935",2016-01-23,"382.43",394.54,381.98,"387.49","56,247,400","5,779,890,176","BTC",382.43,387.49,0.0132311795622728
"936",2016-01-22,"409.75",410.41,375.28,"382.49","91,546,600","6,190,940,160","BTC",409.75,382.49,-0.0665283709579011
"937",2016-01-21,"419.63",422.88,406.3,"410.26","68,338,000","6,338,800,128","BTC",419.63,410.26,-0.0223291947668184
"938",2016-01-20,"379.74",425.27,376.6,"420.23","121,720,000","5,734,759,936","BTC",379.74,420.23,0.106625585927213
"939",2016-01-19,"387.03",387.73,378.97,"380.15","46,819,800","5,843,509,760","BTC",387.03,380.15,-0.0177763997622923
"940",2016-01-18,"381.73",388.1,376.67,"387.17","54,403,900","5,761,939,968","BTC",381.73,387.17,0.0142509103292903
"941",2016-01-17,"387.15",390.96,380.09,"382.3","45,319,600","5,842,270,208","BTC",387.15,382.3,-0.0125274441430969
"942",2016-01-16,"365.07",390.56,354.91,"387.54","120,352,000","5,507,789,824","BTC",365.07,387.54,0.0615498397567591
"943",2016-01-15,"430.26",430.26,364.33,"364.33","153,351,008","6,489,869,824","BTC",430.26,364.33,-0.153232928926696
"944",2016-01-14,"432.29",433.32,427.85,"430.31","43,945,500","6,519,110,144","BTC",432.29,430.31,-0.00458025862268389
"945",2016-01-13,"434.67",435.19,424.44,"432.37","173,888,000","6,553,350,144","BTC",434.67,432.37,-0.00529137046495045
"946",2016-01-12,"448.18",448.18,435.69,"435.69","115,607,000","6,755,219,968","BTC",448.18,435.69,-0.0278682672140658
"947",2016-01-11,"448.7",450.66,443.86,"448.43","40,450,000","6,761,090,048","BTC",448.7,448.43,-0.000601738355248455
"948",2016-01-10,"448.24",448.31,440.35,"447.99","35,995,900","6,752,209,920","BTC",448.24,447.99,-0.000557736926646439
"949",2016-01-09,"453.38",454.64,446.89,"447.61","32,278,000","6,828,000,256","BTC",453.38,447.61,-0.0127266310820944
"950",2016-01-08,"457.54",462.93,447.94,"453.23","56,993,000","6,888,600,064","BTC",457.54,453.23,-0.00941994142588627
"951",2016-01-07,"430.01",458.77,429.08,"458.05","87,562,200","6,472,580,096","BTC",430.01,458.05,0.065207785865445
"952",2016-01-06,"431.86",431.86,426.34,"429.11","34,042,500","6,498,829,824","BTC",431.86,429.11,-0.00636780438104941
"953",2016-01-05,"433.07",434.18,429.68,"431.96","34,522,600","6,515,380,224","BTC",433.07,431.96,-0.00256309603528301
